Client UID,Number of Assessments,First Assessment Date,Last Assessment Date,Months Assessed,Days Between First and Last
4e785764fdcf6e2e4cf73d793158c273,2,2025-06-11,2025-09-17,"Jun, Sep",98
4e8377f1f1d6ec59ed025bf963c78a56,2,2025-08-01,2025-09-05,"Aug, Sep",35
4e99b8e85bc3e3d2e2f6dfbf7f5eab27,2,2025-06-04,2025-09-23,"Jun, Sep",111
5151f885648974ec1c5c4e8fded99b7e,2,2025-06-05,2025-07-17,"Jul, Jun",42
5193d1ee94bf638d9cfddd5eb70c43f0,2,2025-06-26,2025-09-04,"Jun, Sep",70
51f73080b71b0001b4c35410fdd45dde,2,2025-06-23,2025-11-17,"Jun, Nov",147
52db594960a0ed2aae87ef697afcc23b,2,2025-06-24,2025-07-22,"Jul, Jun",28
537e326dc0265d070f5b0ca6dd85dfea,2,2025-06-02,2025-07-09,"Jul, Jun",37
54ccbb9d31b09e977a5d3b36e5ab66ca,2,2025-06-25,2025-07-21,"Jul, Jun",26
56fc00dbaef9a5123e18ba88cc9579a2,2,2025-08-01,2025-11-01,"Aug, Nov",92
585d97aaf969cbcdccc7c45acc2af960,2,2025-06-06,2025-07-23,"Jul, Jun",47
5b78a26758d77fc3b33fe7998c3583da,2,2025-06-05,2025-07-10,"Jul, Jun",35
5b78b0ca704e647a8badc9d3882d3dd5,2,2025-06-10,2025-09-02,"Jun, Sep",84
5c7cca821e982a8cf80938776039fbad,2,2025-06-02,2025-09-04,"Jun, Sep",94
5e1ba9382bf696a700ee8f88bb9e68cc,2,2025-08-08,2025-09-03,"Aug, Sep",26
5e2b087f262a995a5ee047c008578636,2,2025-06-26,2025-09-18,"Jun, Sep",84
61cb5578855eea6b37d896f2bd73a551,2,2025-06-25,2025-09-26,"Jun, Sep",93
6263c39fc063deb6df4548b7eb6e5e34,2,2025-06-18,2025-09-16,"Jun, Sep",90
6489e7ceadfde4ff17ccb082fe0b1778,2,2025-06-28,2025-11-01,"Jun, Nov",126
65574b3324bd1d48fabfa5aa45855137,2,2025-07-07,2025-08-05,"Aug, Jul",29
65b0cde2c78fad332d6bf3e464a729ed,2,2025-08-11,2025-10-09,"Aug, Oct",59
671cf4e4c0b9d30aa7524bba5530c383,2,2025-06-04,2025-10-28,"Jun, Oct",146
68d307d1638434941f70851c21fcbe1e,2,2025-06-28,2025-08-11,"Aug, Jun",44
6ace6ed90d1cc7e413bd42e14766a7ab,2,2025-06-23,2025-09-17,"Jun, Sep",86
6c0f2d3f13d5a0453db91fa371a45621,2,2025-06-02,2025-08-20,"Aug, Jun",79
6ce5a8ff7d887964909133e2b780086e,2,2025-06-25,2025-09-27,"Jun, Sep",94
6d1ba48c5b69b8b870cd7944f5b5a956,2,2025-07-12,2025-09-08,"Jul, Sep",58
6d55dfd4a4845e60541ae6eccee1db6d,2,2025-07-18,2025-08-28,"Aug, Jul",41
6e5581011f5a6a637ae38cbe92784317,2,2025-06-05,2025-08-06,"Aug, Jun",62
701a0344d1ddbf5e3874388748cdcc8e,2,2025-07-10,2025-08-08,"Aug, Jul",29
70207616df283545288d5c3c3ffde7b2,2,2025-06-13,2025-07-23,"Jul, Jun",40
7161bbf42afc4c76105fca9aec4fca7b,2,2025-06-19,2025-09-17,"Jun, Sep",90
72088cede4307ef6806ff602549c58cc,2,2025-08-20,2025-10-14,"Aug, Oct",55
734a116c5f42ca6fa2c9e44f9f54f0a8,2,2025-06-25,2025-09-16,"Jun, Sep",83
75a1d5968ff127f3d7c730ee312875e6,2,2025-06-20,2025-09-18,"Jun, Sep",90
75f193abd24ba0d9d2f8945b685badbd,2,2025-07-16,2025-08-23,"Aug, Jul",38
768d1c4879a2137b76bf814bcf3fcf5b,2,2025-07-31,2025-08-13,"Aug, Jul",13
790dd6c91b34b7cbef0d42e0fd7baa3f,2,2025-06-25,2025-07-18,"Jul, Jun",23
7b975ec48b04a16e0489e54f67a3cce4,2,2025-07-30,2025-10-29,"Jul, Oct",91
7bba32209e904ffe7602631dae48e3cb,2,2025-08-13,2025-08-20,Aug,7
7be426f5dca802069fb1079d456e0a88,2,2025-06-10,2025-09-11,"Jun, Sep",93
7ca4c1439eaf37a737105cb264454630,2,2025-06-18,2025-09-10,"Jun, Sep",84
7d3cb79d5a7b9d87c184cab5c16331ff,2,2025-07-31,2025-08-05,"Aug, Jul",5
7eacff780b53f9ad36c0890dd39af206,2,2025-07-18,2025-09-17,"Jul, Sep",61
7ee2f275c5ba2449649e829fab0a4a25,2,2025-06-24,2025-09-09,"Jun, Sep",77
7f4b40c9480d58df2737993f62d28881,2,2025-10-07,2025-11-21,"Nov, Oct",45
7ffc2fd38b2b986bf2eaad73d37443d3,2,2025-06-16,2025-07-21,"Jul, Jun",35
04aec0476f6fc4da511555d77f6ee3d6,2,2025-07-16,2025-08-23,"Aug, Jul",38
8031148637f8bc13e8e570981b656adc,2,2025-06-24,2025-09-23,"Jun, Sep",91
80388206cc3477508ece011c423e68fc,2,2025-06-09,2025-07-09,"Jul, Jun",30
857b21c6396a77bf44be7387e9676bfd,2,2025-07-18,2025-08-14,"Aug, Jul",27
869f5ce87d9c4d176cb1fcf6a911879a,2,2025-06-11,2025-07-14,"Jul, Jun",33
87f0d19290ba1d014f66dd6a56f4c188,2,2025-06-10,2025-07-18,"Jul, Jun",38
886cc1aae95f8de71e62a10355170da9,2,2025-08-11,2025-08-12,Aug,1
887cc352d616c1b05e4ac19d1861f51e,2,2025-06-27,2025-09-27,"Jun, Sep",92
04d6783055b5b130957dcd5285486346,2,2025-06-18,2025-09-16,"Jun, Sep",90
8b07ad2e388dfd318af57c2a2d41b35c,2,2025-06-20,2025-07-09,"Jul, Jun",19
8bda528a85b95c48b11cde0059a28647,2,2025-06-27,2025-07-11,"Jul, Jun",14
8c24ed8b920001cf37ab230c1ed5dadd,2,2025-06-18,2025-07-17,"Jul, Jun",29
8ce188eabafbdebd935fbbaccad27497,2,2025-06-11,2025-09-22,"Jun, Sep",103
8d63c5d7634fc39af917a689c8cd9af9,2,2025-06-28,2025-08-11,"Aug, Jun",44
8f4efc3f6fcd0f87ed6c356f0ee3a760,2,2025-07-17,2025-10-20,"Jul, Oct",95
8f80637eae183a978b2da1f8345026d5,2,2025-06-20,2025-07-22,"Jul, Jun",32
90d5b3f0972dea7e476e0f01778d23c4,2,2025-07-24,2025-07-25,Jul,1
914befce796eab6ee0e35c768d546d86,2,2025-07-17,2025-10-28,"Jul, Oct",103
948e68f9c08d0e63eafe16e7b9149536,2,2025-06-20,2025-07-21,"Jul, Jun",31
95ea577bbb9432e6254b064fc12d9fba,2,2025-09-09,2025-09-17,Sep,8
9600e07c9ac1a0a28b572244a02d53e3,2,2025-06-16,2025-07-21,"Jul, Jun",35
96e783e14bad6b94cc90e33e124e12e9,2,2025-08-12,2025-09-09,"Aug, Sep",28
050866f77cfc1681de1afc15c91d3cb2,2,2025-08-11,2025-08-13,Aug,2
05fc00b913a61e9270376e2f7b016a0a,2,2025-06-25,2025-09-26,"Jun, Sep",93
9a98aa21ebe92c075016f67d838e4925,2,2025-06-05,2025-09-19,"Jun, Sep",106
9af822ab6f065b89a11b00232f6387a5,2,2025-07-24,2025-08-01,"Aug, Jul",8
9beab04f2f1839e0429e81be458ae13f,2,2025-08-12,2025-11-22,"Aug, Nov",102
9cbe8fb70279a4800fbebccae76c08f0,2,2025-06-16,2025-07-21,"Jul, Jun",35
9d4e42225706f107e9c4b73c0bdd74ed,2,2025-06-10,2025-11-06,"Jun, Nov",149
08d475b542cd175f8b7d92d4a9b6be89,2,2025-06-18,2025-08-11,"Aug, Jun",54
098e2f3fab8249f30462f008c697f566,2,2025-08-07,2025-11-24,"Aug, Nov",109
9f1eadd0a117acc3915093a58579e346,2,2025-10-20,2025-11-06,"Nov, Oct",17
9fb11e9c8d721dd4b59b8103e394f98d,2,2025-07-31,2025-08-06,"Aug, Jul",6
a00b4cef1b40d0cb0b2b6f7de2e50e29,2,2025-06-20,2025-07-09,"Jul, Jun",19
a058ddb4f1f1197fd9303fe1aa7ab5bc,2,2025-08-27,2025-09-11,"Aug, Sep",15
a1007b1dcf416af6601518dabd3ada33,2,2025-06-24,2025-09-04,"Jun, Sep",72
09baf1ea7aeec0f8de145d9acb23f3b5,2,2025-06-28,2025-08-07,"Aug, Jun",40
a182c72a56f968a0e5d9f6faf3ac1561,2,2025-06-30,2025-07-21,"Jul, Jun",21
a28c786f024ab29097322e5c4428bace,2,2025-06-18,2025-09-22,"Jun, Sep",96
a4eaf651f7b33bbae0ec5cacb021438c,2,2025-06-20,2025-09-23,"Jun, Sep",95
a5323497171d606c8c609663dca9b55f,2,2025-06-09,2025-08-05,"Aug, Jun",57
a614caaec9dc61c7c9173df06c32e1f2,2,2025-11-18,2025-11-21,Nov,3
a63a7aa168150d92a36cffada5dac96a,2,2025-06-04,2025-07-14,"Jul, Jun",40
a7311a0b542219a946f3534d24eb5f9f,2,2025-07-31,2025-09-16,"Jul, Sep",47
a781413eb5ccc9d216184dd8b60f2dfe,2,2025-07-24,2025-08-18,"Aug, Jul",25
a7fb403e38e1fc3560805283c526d67b,2,2025-06-20,2025-07-09,"Jul, Jun",19
a7fb596e38dc1766173e1783b75494ce,2,2025-07-24,2025-08-11,"Aug, Jul",18
a7ff72f91c755bb337ced5605dce1d25,2,2025-06-02,2025-09-29,"Jun, Sep",119
a843288fdc8b81814353bea34557a06b,2,2025-07-03,2025-10-09,"Jul, Oct",98
a844e855f4322e8c6e9266a8a3445f9e,2,2025-06-25,2025-07-18,"Jul, Jun",23
a8ea626ab6ed69c75ead83f9aff39702,2,2025-07-15,2025-10-24,"Jul, Oct",101
aafe0c4eb247b708a46eec3f630eb1e6,2,2025-07-08,2025-10-20,"Jul, Oct",104
0a887b29ae8767babda81147713e70fd,2,2025-06-12,2025-08-08,"Aug, Jun",57
0b70d688ebaf4c50aabfd0bdf702ecb6,2,2025-07-18,2025-08-14,"Aug, Jul",27
ade69d2a8ae513eaec06520770573e77,2,2025-07-15,2025-10-24,"Jul, Oct",101
ae409bb22a564f7011d3d6a2c4302f7b,2,2025-07-21,2025-08-19,"Aug, Jul",29
c767e6e5e1b1c19bbe1f866c14da08dc,2,2025-06-11,2025-07-18,"Jul, Jun",37
b0387b064b0591f6ec9de25193109a95,2,2025-08-21,2025-10-02,"Aug, Oct",42
b11c4cfb6183f7b040088ad9e95fafac,2,2025-10-20,2025-11-05,"Nov, Oct",16
267c57df42931f2c142586db5528cdf1,2,2025-07-15,2025-10-23,"Jul, Oct",100
b29c8e63138e66efd7517691a2665bf8,2,2025-06-23,2025-09-10,"Jun, Sep",79
e7e9f91faff33b65cfe825a915ccc891,2,2025-08-19,2025-09-26,"Aug, Sep",38
e103089c4ef52ac809f70d0f027ced7b,2,2025-08-20,2025-08-31,Aug,11
b88f65a9c80ff63246d5302a41e4c30a,2,2025-07-15,2025-10-14,"Jul, Oct",91
b991fabffaf0a40cce7fc1e04421a644,2,2025-06-05,2025-09-19,"Jun, Sep",106
bb53baf8a0b315fce7806fb9c6f6ae85,2,2025-06-20,2025-07-10,"Jul, Jun",20
bcec5ce83c078f089e072291e4ccdf21,2,2025-06-30,2025-09-29,"Jun, Sep",91
11c7ad3381dce386c8dde7c8ae492386,2,2025-06-20,2025-10-01,"Jun, Oct",103
bd701ada69ea545d7af94db32c590e44,2,2025-07-15,2025-10-28,"Jul, Oct",105
be5e25b26e68c93ef689df68b77c9da2,2,2025-08-05,2025-10-30,"Aug, Oct",86
c27238eed0e25ac18a5aa21715d0cfcd,2,2025-06-05,2025-08-06,"Aug, Jun",62
e128822e99955a9feaf2da380fe8356e,2,2025-07-22,2025-11-26,"Jul, Nov",127
e31768888b88024feb3d5b59d8fa1249,2,2025-11-04,2025-11-11,Nov,7
e415fd3685c611d50b1b1e10858a49cf,2,2025-07-19,2025-08-13,"Aug, Jul",25
e44a3ca473447852eba8a5fe10141c68,2,2025-06-11,2025-07-18,"Jul, Jun",37
e529bce69d0b62a3c0c3c369af2bd9b1,2,2025-06-17,2025-07-08,"Jul, Jun",21
e584ef0e3b6cff016560a14261c50632,2,2025-06-04,2025-07-09,"Jul, Jun",35
e61be998224f55b83e59e36fea7a1436,2,2025-07-09,2025-11-22,"Jul, Nov",136
c2cf24151c219ceaa838fdaf7d791178,2,2025-08-14,2025-08-18,Aug,4
e8993dfe2ff079f2acaddbfe05796e97,2,2025-10-03,2025-10-08,Oct,5
e9e3fce577b3b6e8a004b1c76336bbe0,2,2025-08-01,2025-09-23,"Aug, Sep",53
c39738cc0274fde3cfaa75977c7b9689,2,2025-08-19,2025-10-21,"Aug, Oct",63
ec06056320a38d92372a70019c6b88f5,2,2025-08-19,2025-09-26,"Aug, Sep",38
ee5768dcced73524f91e17b14d6bc67f,2,2025-10-28,2025-11-07,"Nov, Oct",10
ef023ef262e822568bf23c858e46323b,2,2025-06-16,2025-07-10,"Jul, Jun",24
ef11ae7d4bef92fab25f739cf2604c4a,2,2025-07-22,2025-09-11,"Jul, Sep",51
efaac05df00779ff277f435be27ad57b,2,2025-06-20,2025-07-18,"Jul, Jun",28
f0b983d5ca9268af639e6069e609b741,2,2025-07-02,2025-08-06,"Aug, Jul",35
f315d239ab914d17b179bf5cd103c348,2,2025-06-28,2025-08-11,"Aug, Jun",44
f4c0f76f7fbb14da7654953c4540ab19,2,2025-06-27,2025-09-25,"Jun, Sep",90
f4fcec12c3ce8cef1c1b36ada38310d9,2,2025-08-20,2025-11-24,"Aug, Nov",96
f6767bcabe0563cdb226221af8a9ea83,2,2025-06-20,2025-07-21,"Jul, Jun",31
f6cf5663a31b1a318315c6c2d89420bd,2,2025-06-02,2025-09-25,"Jun, Sep",115
f7df479812a27e300c27490b6dd56ab4,2,2025-06-25,2025-09-16,"Jun, Sep",83
f7f5b1384020aa7a1923271db5752cc5,2,2025-06-26,2025-07-09,"Jul, Jun",13
f9d5e51694ce8e4f194724e2ca7720cc,2,2025-06-13,2025-09-18,"Jun, Sep",97
fc5d429f3a9667bfac35973351ec017a,2,2025-07-03,2025-10-09,"Jul, Oct",98
fca0facbc6b9781fbba0d12274ece808,2,2025-06-25,2025-07-09,"Jul, Jun",14
fd9f7563d27e86444bd44387cefcd154,2,2025-08-28,2025-11-24,"Aug, Nov",88
fe4dcfdbe9721b30c1be6842f4175b2c,2,2025-07-17,2025-11-11,"Jul, Nov",117
ff4e80bc9fac75d8d243329b7550d9d4,2,2025-08-18,2025-08-26,Aug,8
ff683aaa5aeb48574c90afca09115430,2,2025-06-17,2025-07-10,"Jul, Jun",23
01b466eda472eb73b1ad7d0a1fc03a0a,2,2025-06-16,2025-07-21,"Jul, Jun",35
0c60bbcfe649a8c2491e6f9b0bfd6cb6,2,2025-06-19,2025-09-17,"Jun, Sep",90
0e4cfdb980967b32a2058ebb9ad45e8c,2,2025-06-23,2025-07-14,"Jul, Jun",21
0eac15be9ad556ed0e378d0a4c04c894,2,2025-08-21,2025-11-24,"Aug, Nov",95
0ead215137c63db87db1fc00af1b9584,2,2025-08-23,2025-09-04,"Aug, Sep",12
c4cf728322a676b6cb64ba662b0f3728,2,2025-06-16,2025-07-21,"Jul, Jun",35
0fda329576f71cd5bcfcc7748da7a8de,2,2025-06-25,2025-09-26,"Jun, Sep",93
109de63862474cd9d2baae202d9ddbe2,2,2025-06-25,2025-09-26,"Jun, Sep",93
0093d8e5c1bd99a8f59e351b228584ec,2,2025-07-22,2025-09-11,"Jul, Sep",51
12017341b097d1ac18f4bca3f632a32d,2,2025-08-01,2025-09-26,"Aug, Sep",56
12a5091922257b607d044823d1f0b4fc,2,2025-08-18,2025-08-26,Aug,8
12e281d629a13be3c79debda2691c513,2,2025-06-17,2025-07-11,"Jul, Jun",24
131157095d0df3bb537c8f7f1120262a,2,2025-06-05,2025-07-17,"Jul, Jun",42
135767bbff5fd8283b32a73e7ff5e537,2,2025-08-05,2025-09-04,"Aug, Sep",30
15564d283e8a761937248f77b2fb1b91,2,2025-06-23,2025-07-14,"Jul, Jun",21
16c339429364c9a8c2d0ca9410c6447b,2,2025-07-14,2025-08-19,"Aug, Jul",36
170391da514b5224b628eba2666bf037,2,2025-08-04,2025-09-05,"Aug, Sep",32
171698e785aac13bb1cc0f9b9a98b905,2,2025-06-10,2025-09-22,"Jun, Sep",104
1a0fdc9ab2e9eb407f1ce2530a3b505e,2,2025-06-20,2025-07-18,"Jul, Jun",28
1a2da4ea41be2c334090d45a74d54de2,2,2025-08-07,2025-10-27,"Aug, Oct",81
c4da4bf6a7236174a5493e0ba08c1d46,2,2025-07-15,2025-08-27,"Aug, Jul",43
1b682fc92a10a6dd2773c3eefa8813af,2,2025-09-08,2025-09-08,Sep,0
1e147683bf77f1af4bebdfc74ff3ccfe,2,2025-06-02,2025-09-18,"Jun, Sep",108
1f65d02b01171624bc9aab5b68bf2809,2,2025-08-25,2025-11-25,"Aug, Nov",92
20485f10debf7ceccf679a32cb11f808,2,2025-08-01,2025-09-23,"Aug, Sep",53
2111a602dba105f07f1eff85728ea487,2,2025-06-25,2025-07-18,"Jul, Jun",23
2149690c6b1c6943d2f93adce31231b6,2,2025-06-25,2025-07-18,"Jul, Jun",23
2282e0c9c0480df2a53f607b0e52a5b6,2,2025-07-10,2025-08-05,"Aug, Jul",26
23d63d4f5587f006b4f6af5f5239dd2f,2,2025-08-01,2025-08-11,Aug,10
2418f8f4b652eba7954fd7fbe5fd2f76,2,2025-06-11,2025-07-18,"Jul, Jun",37
242bd040719df79241734fdf54a100ed,2,2025-11-05,2025-11-06,Nov,1
2633dd2f4f6168cf83dd4810fd37ef3d,2,2025-06-02,2025-07-11,"Jul, Jun",39
038242e3661be4e667b4fb20e202ecda,2,2025-06-12,2025-09-08,"Jun, Sep",88
